"TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE","ORDINAL_POSITION"
"TRANSFER_DIRECTIVE_LINE","PackQtyNeeded","decimal","","18","5","YES","17"
"TRANSFER_DIRECTIVE_LINE","PackQtySent","decimal","","18","5","YES","18"
"TRANSFER_DIRECTIVE_LINE","PackQtyTransfered","decimal","","18","5","YES","19"
"TRANSFER_DIRECTIVE_LINE","PackQtyDue","decimal","","18","5","YES","20"
"TRANSFER_DIRECTIVE_LINE","RetailPrice","decimal","","18","5","YES","21"
"TRANSFER_DIRECTIVE_LINE","RetailPriceWTax","decimal","","18","5","YES","22"
"TRANSFER_DIRECTIVE_LINE","AvgCost","decimal","","18","5","YES","23"
"TRANSFER_DIRECTIVE_LINE","LocationName","varchar","50","","","YES","24"
"TRANSFER_DIRECTIVE_LINE","TaxPercent","decimal","","18","5","NO","25"
"TRANSFER_DIRECTIVE_LINE","LineDescription","varchar","100","","","YES","26"
"TRANSFER_DIRECTIVE_LINE","Season","varchar","20","","","YES","27"
"TRANSFER_DIRECTIVE_LINE","AlternativeLookupCode","varchar","20","","","YES","28"
"TRANSFER_DIRECTIVE_LINE","SerialNumber","varchar","-1","","","YES","29"
"TRANSFER_DIRECTIVE_LINE","ComboSKU","int","","10","0","YES","30"
"TRANSFER_DIRECTIVE_LINE","RecordSource","varchar","50","","","YES","31"
"TRANSFER_DIRECTIVE_LINE_PICKING","StoreNo","int","","10","0","NO","1"
"TRANSFER_DIRECTIVE_LINE_PICKING","TDId","uniqueidentifier","","","","NO","2"
"TRANSFER_DIRECTIVE_LINE_PICKING","LineId","int","","10","0","NO","3"
"TRANSFER_DIRECTIVE_LINE_PICKING","LocationName","varchar","50","","","NO","4"
"TRANSFER_DIRECTIVE_LINE_PICKING","SKU","int","","10","0","NO","5"
"TRANSFER_DIRECTIVE_LINE_PICKING","PickQty","decimal","","18","5","NO","6"
"TRANSFER_DIRECTIVE_LINE_PICKING","MovedQty","decimal","","18","5","NO","7"
"TRANSFER_DIRECTIVE_LINE_PICKING","ScanQty","decimal","","18","5","NO","8"
"TRANSFER_DIRECTIVE_LINE_PICKING","PickNote","varchar","500","","","YES","9"
"TRANSFER_DIRECTIVE_LINE_PICKING","PickOrder","int","","10","0","NO","10"
"TRANSFER_DIRECTIVE_PICKING","StoreNo","int","","10","0","NO","1"
"TRANSFER_DIRECTIVE_PICKING","PickingId","uniqueidentifier","","","","NO","2"
"TRANSFER_DIRECTIVE_PICKING","OutToStoreNo","int","","10","0","NO","3"
"TRANSFER_DIRECTIVE_PICKING","PickingNo","int","","10","0","NO","4"
"TRANSFER_DIRECTIVE_PICKING","PickingName","varchar","50","","","YES","5"
"TRANSFER_DIRECTIVE_PICKING","PickingDate","datetime","","","","YES","6"
"TRANSFER_DIRECTIVE_PICKING","Picker","varchar","10","","","YES","7"
"TRANSFER_DIRECTIVE_PICKING","StartPickingDate","datetime","","","","YES","8"
"TRANSFER_DIRECTIVE_PICKING","EndPickingDate","datetime","","","","YES","9"
"TRANSFER_DIRECTIVE_PICKING","Notes","varchar","500","","","YES","10"
"TRANSFER_DIRECTIVE_PICKING","Comment1","varchar","100","","","YES","11"
"TRANSFER_DIRECTIVE_PICKING","Comment2","varchar","100","","","YES","12"
"TRANSFER_DIRECTIVE_PICKING","Comment3","varchar","100","","","YES","13"
"TRANSFER_DIRECTIVE_PICKING","LineCount","int","","10","0","NO","14"
"TRANSFER_DIRECTIVE_PICKING","StatusCode","varchar","1","","","NO","15"
"TRANSFER_DIRECTIVE_PICKING","SourceCode","varchar","1","","","NO","16"
"TRANSFER_DIRECTIVE_PICKING","ZoneCode","varchar","10","","","YES","17"
"TRANSFER_DIRECTIVE_PICKING","ZoneDescription","varchar","50","","","YES","18"
"TRANSFER_DIRECTIVE_PICKING","ReferenceTypeCode","varchar","2","","","YES","19"
"TRANSFER_DIRECTIVE_PICKING","ReferenceStoreNo","int","","10","0","YES","20"
"TRANSFER_DIRECTIVE_PICKING","ReferenceId","varchar","50","","","YES","21"
"TRANSFER_DIRECTIVE_PICKING","RegisterId","varchar","10","","","NO","22"
"TRANSFER_DIRECTIVE_PICKING","Version","varchar","10","","","NO","23"
"TRANSFER_DIRECTIVE_PICKING","CreatedBy","varchar","10","","","NO","24"
"TRANSFER_DIRECTIVE_PICKING","CreationDate","datetime","","","","NO","25"
"TRANSFER_DIRECTIVE_PICKING","ModifiedBy","varchar","10","","","YES","26"
"TRANSFER_DIRECTIVE_PICKING","ChangeDate","datetime","","","","YES","27"
"TRANSFER_DIRECTIVE_PICKING_LINE","StoreNo","int","","10","0","NO","1"
"TRANSFER_DIRECTIVE_PICKING_LINE","PickingId","uniqueidentifier","","","","NO","2"
"TRANSFER_DIRECTIVE_PICKING_LINE","LineId","int","","10","0","NO","3"
"TRANSFER_DIRECTIVE_PICKING_LINE","SKU","int","","10","0","NO","4"
"TRANSFER_DIRECTIVE_PICKING_LINE","LocationId","int","","10","0","YES","5"
"TRANSFER_DIRECTIVE_PICKING_LINE","UPC","varchar","50","","","YES","6"
"TRANSFER_DIRECTIVE_PICKING_LINE","LineDescription","varchar","100","","","YES","7"
"TRANSFER_DIRECTIVE_PICKING_LINE","QtyPick","decimal","","18","5","NO","8"
"TRANSFER_DIRECTIVE_PICKING_LINE","QtyPicked","decimal","","18","5","NO","9"
"TRANSFER_DIRECTIVE_PICKING_LINE","QtyDue","decimal","","18","5","NO","10"
"TRANSFER_DIRECTIVE_SOURCE","SourceCode","char","1","","","NO","1"
"TRANSFER_DIRECTIVE_SOURCE","SourceName","varchar","50","","","YES","2"
"TRANSFER_DIRECTIVE_SOURCE","PollStatusCode","tinyint","","3","0","NO","3"
