"fk_name","parent_schema","parent_table","parent_column","ref_schema","ref_table","ref_column"
"FK_PRE_TRANSFER_DIRECTIVE_POLL_STATUS1","dbo","PRE_TRANSFER_DIRECTIVE","ResetPollStatusCode","dbo","POLL_STATUS","PollStatusCode"
"FK_PRE_TRANSFER_DIRECTIVE_STORE","dbo","PRE_TRANSFER_DIRECTIVE","StoreNo","dbo","STORE","StoreNo"
"FK_PRE_TRANSFER_DIRECTIVE_STORE1","dbo","PRE_TRANSFER_DIRECTIVE","OutToStoreNo","dbo","STORE","StoreNo"
"FK_PRE_TRANSFER_DIRECTIVE_TRANSFER_DIRECTIVE_FLAG1","dbo","PRE_TRANSFER_DIRECTIVE","Flag1","dbo","TRANSFER_DIRECTIVE_FLAG1","Flag1"
"FK_PRE_TRANSFER_DIRECTIVE_TRANSFER_DIRECTIVE_SOURCE","dbo","PRE_TRANSFER_DIRECTIVE","SourceCode","dbo","TRANSFER_DIRECTIVE_SOURCE","SourceCode"
"FK_PRICE_EVENT_STORE_STORE","dbo","PRICE_EVENT_STORE","StoreNo","dbo","STORE","StoreNo"
"FK_PRODUCT_UNIT_MEASURE_PRICE_PRODUCT","dbo","PRODUCT_UNIT_MEASURE_PRICE","SKU","dbo","PRODUCT","SKU"
"FK_PROMO_POINTS_STORE_STORE","dbo","PROMO_STORE","StoreNo","dbo","STORE","StoreNo"
"FK_RDF_STORE","dbo","RDF","DCStoreNo","dbo","STORE","StoreNo"
"FK_STORE_GROUP_DETAIL_STORE","dbo","RDF_STORE_GROUP","StoreNo","dbo","STORE","StoreNo"
"FK_RECEIPT_LINE_PRODUCT","dbo","RECEIPT_LINE","SKU","dbo","PRODUCT","SKU"
"FK_REGISTER_AUDIT_STORE","dbo","REGISTER_AUDIT","StoreNo","dbo","STORE","StoreNo"
"FK__REGISTER_PREFERENCES__STORE","dbo","REGISTER_PREFERENCES","StoreNo","dbo","STORE","StoreNo"
"FK__SLIP__STORE","dbo","SLIP","StoreNo","dbo","STORE","StoreNo"
